customer_id,customer_name,email,registration_date,customer_type
CUST0001,Justin Thompson,john96example.net,2023-08-13,VIP
CUST0002,Brian Hall,debra94example.org,2025-10-15,PREMIUM
CUST0003,James Shannon,brianmorris@,2024-02-01,PREMIUM
CUST0004,Robin Campbell,diane40@,2024-09-22,REGULAR
CUST0005,Erica Parker,lucasjonesexample.com,2023-10-27,REGULAR
CUST0006,Dawn Mendoza,scottalexander@,2022-02-18,REGULAR
CUST0007,Nathan Johnson,jennifer83@,2023-05-01,REGULAR
CUST0008,Darryl Wilson,becky91@,2022-04-13,PREMIUM
CUST0009,Sergio Jackson,barkerjaneexample.net,2025-07-06,REGULAR
CUST0010,Norman Mckee,pshawexample.net,2022-03-27,REGULAR
CUST0011,Elizabeth Fernandez,lindsayfranklin@example.org,2024-03-15,REGULAR
CUST0012,Denise Perkins,hartmandaniel@example.com,2024-02-22,REGULAR
CUST0013,James Frank,rogerrusso@example.org,2022-07-12,REGULAR
CUST0014,Ashley Lopez,hamiltonmatthew@example.org,2022-10-30,PREMIUM
CUST0015,Theodore Olson,blackshannon@example.com,2023-07-13,REGULAR
CUST0016,Johnny Perkins,maryreed@example.net,2024-04-02,PREMIUM
CUST0017,Krystal Woods,emily16@example.com,2022-06-11,PREMIUM
CUST0018,Jody Rush,mayererika@example.net,2025-04-22,REGULAR
CUST0019,Daniel Alvarez,scottregina@example.net,2024-09-02,REGULAR
CUST0020,Seth Mosley,richardjones@example.com,2022-04-30,REGULAR
CUST0021,Luis King,delacruzlance@example.com,2025-02-22,REGULAR
CUST0022,Anthony Rogers,lindamills@example.org,2025-10-28,REGULAR
CUST0023,Karen Morgan,raymondnorton@example.com,2023-02-11,PREMIUM
CUST0024,Andrew Hawkins,moorescott@example.com,2022-05-10,REGULAR
CUST0025,Kimberly Jones,johnsonbrittney@example.net,2023-03-03,VIP
CUST0026,Shane Chavez,suzanne37@example.net,2022-10-01,PREMIUM
CUST0027,Tyler Fischer,wolfejennifer@example.com,2025-06-17,PREMIUM
CUST0028,Debbie Wallace,tyler00@example.org,2025-10-01,VIP
CUST0029,Kerry George,rcunningham@example.net,2022-07-08,REGULAR
CUST0030,Emily Mercer,moralesmorgan@example.net,2025-02-09,REGULAR
CUST0031,Elizabeth Turner,elizabeth29@example.org,2025-08-24,REGULAR
CUST0032,Laura Matthews,lynnrush@example.org,2025-07-14,PREMIUM
CUST0033,Michael Walter,laurendonovan@example.org,2025-12-17,VIP
CUST0034,Jerry Patel,nicholsalexander@example.net,2025-05-10,PREMIUM
CUST0035,Zachary Miller,lisa24@example.org,2025-02-24,PREMIUM
CUST0036,Lisa David,johnedwards@example.net,2024-05-22,REGULAR
CUST0037,Roger Strickland,deborah53@example.com,2024-07-02,PREMIUM
CUST0038,Michael Estrada,robertmiller@example.net,2025-06-17,REGULAR
CUST0039,Jonathan Mitchell,justinbanks@example.net,2024-02-29,PREMIUM
CUST0040,Maria Hanson,huntergregg@example.net,2022-02-24,PREMIUM
CUST0041,Chris Morales,rschmitt@example.net,2025-06-06,REGULAR
CUST0042,Mercedes Jones,ohancock@example.net,2025-04-25,PREMIUM
CUST0043,Charles Hughes,wilsonerik@example.com,2025-03-27,REGULAR
CUST0044,Gregory Kennedy,jeffrey63@example.org,2022-05-21,PREMIUM
CUST0045,Lisa Jones,eric44@example.com,2023-09-19,VIP
CUST0046,Cynthia Vasquez,norrisharry@example.net,2024-03-15,REGULAR
CUST0047,Joshua Freeman,jerryallen@example.net,2025-10-21,REGULAR
CUST0048,Mr. Jerry Green,carrkevin@example.com,2022-12-09,PREMIUM
CUST0049,Peter Bell,pgonzalez@example.com,2025-06-08,REGULAR
CUST0050,Charles Fields,foxdavid@example.com,2025-06-26,PREMIUM
CUST0051,Kenneth Potter,maldonadoelizabeth@example.org,2024-03-11,REGULAR
CUST0052,Derek Graham,bakerjeanne@example.com,2022-08-22,PREMIUM
CUST0053,Melissa Davis,atorres@example.org,2025-02-10,REGULAR
CUST0054,Christina Lamb,jbaker@example.com,2025-01-20,REGULAR
CUST0055,Megan Riley,thomasbarbara@example.net,2025-09-08,REGULAR
CUST0056,Kristina Crawford,alexandra33@example.org,2024-12-22,REGULAR
CUST0057,John Richard MD,isaacrodriguez@example.org,2022-08-11,REGULAR
CUST0058,John Myers,micheleguzman@example.com,2022-01-03,VIP
CUST0059,Tina Harper,swansoncameron@example.org,2025-05-03,REGULAR
CUST0060,Christopher Pineda,gfields@example.org,2023-09-13,PREMIUM
CUST0061,Ann Lee,donna69@example.net,2024-04-13,REGULAR
CUST0062,John Hill,dlarson@example.com,2025-06-23,VIP
CUST0063,Virginia Kim,barrytroy@example.net,2025-02-21,REGULAR
CUST0064,Tammy Johnson,ubeard@example.net,2024-04-21,REGULAR
CUST0065,Jasmine Gordon,armstrongelizabeth@example.net,2023-12-22,REGULAR
CUST0066,Catherine Jefferson,lynchmary@example.com,2022-08-25,PREMIUM
CUST0067,Louis Green,emily72@example.com,2023-11-23,REGULAR
CUST0068,Robert Reynolds,jamesshawn@example.net,2024-03-09,REGULAR
CUST0069,Thomas Green,wbarber@example.com,2022-09-18,VIP
CUST0070,Denise Beard,lisaphillips@example.net,2024-09-10,VIP
CUST0071,Joy Smith,stevenschristopher@example.net,2024-01-27,REGULAR
CUST0072,Katie Bond,gbutler@example.net,2023-05-29,REGULAR
CUST0073,Jodi Morton,connorharper@example.net,2025-08-21,REGULAR
CUST0074,Michael Rodriguez,alyssaarnold@example.com,2022-09-05,REGULAR
